,subj_idx,trial_PE,trial_TR_PE,trial_TI_PE,rt,pupil_response_1,pupil_response_2,missed_response,response
10703,26,PP,0,0,0.625065705392,1.47649608492,2.73049850809,0,1.0
10704,26,PP,0,0,1.00019370864,1.00468501523,1.60977054528,0,1.0
10705,26,UU,1,1,2.04185004578,0.771221150048,1.46628411748,0,1.0
10706,26,UP,1,0,0.941862072394,1.73808925862,3.77482502993,0,1.0
10707,26,PP,0,0,1.11689739055,0.77970226896,1.70698929323,0,1.0
10708,26,UU,1,1,0.566870050046,0.4989811141,1.34988942517,0,1.0
10709,26,PU,0,1,0.633525064262,0.925907784041,1.13356115785,0,1.0
10710,26,PP,0,0,0.541820700848,3.29089674631,2.5719842524,0,1.0
10711,26,PP,0,0,0.758512676852,0.409243702903,1.85413144977,0,1.0
10712,26,PP,0,0,0.650281502911,2.4318325563,3.35231022135,0,1.0
10713,26,PP,0,0,0.966881916303,1.10129025488,0.479447116517,0,1.0
10714,26,UU,1,1,0.958523901689,1.35392582788,2.69858014919,0,1.0
10715,26,PP,0,0,0.841846197265,0.634791000273,0.952659633104,0,0.0
10716,26,PP,0,0,1.19192645486,1.41009698731,1.68191449882,0,1.0
10717,26,PP,0,0,0.71683549358,1.80799439995,1.53116425988,0,1.0
10718,26,PU,0,1,0.675183646372,0.916396177069,0.967559479186,0,1.0
10719,26,PU,0,1,1.15022425623,0.839699778862,1.1198579451,0,0.0
10720,26,PU,0,1,1.00016644832,0.213069586437,3.17541295028,0,1.0
10721,26,UP,1,0,1.40019531219,1.3755378483,1.58844777348,0,1.0
10722,26,PP,0,0,0.775199200792,0.525737433377,2.07113045597,0,1.0
10723,26,UU,1,1,0.866850967823,2.34950698303,0.980563468603,0,1.0
10724,26,PP,0,0,0.766876143531,0.823550940986,1.96331082678,0,1.0
10725,26,UP,1,0,1.77522902679,0.998119025087,2.06351094489,0,0.0
10726,26,PP,0,0,0.625187254356,3.58689772195,1.89057241528,0,1.0
10727,26,PP,0,0,0.666841667242,2.87168130235,1.7767821124,0,1.0
10728,26,PU,0,1,1.2085664759,1.55614801539,1.0037597328,0,1.0
10729,26,UP,1,0,0.691828798766,2.74762188585,3.58446099432,0,1.0
10730,26,UU,1,1,0.591860709377,1.16696280838,0.845099575193,0,1.0
10731,26,UP,1,0,0.716881675771,1.55422180776,1.17771711762,0,1.0
10732,26,PU,0,1,1.47524297766,2.1019516084,2.5387812039,0,1.0
10733,26,UU,1,1,0.716839983515,1.38400266707,2.4723963164,0,0.0
10734,26,UU,1,1,0.566854335273,0.228550873244,2.15100277646,0,1.0
10735,26,PP,0,0,1.05022537872,0.485306258999,2.28217360907,0,1.0
10736,26,PP,0,0,0.708514681288,0.145679916009,1.21506569931,0,1.0
10737,26,UU,1,1,0.875209944565,0.481026039374,2.73945020055,0,1.0
10738,26,UU,1,1,1.20848790203,1.81706622883,1.48274550875,0,1.0
10739,26,UU,1,1,0.741830322137,0.704659391159,1.91280526107,0,0.0
10740,26,PP,0,0,0.983571005921,1.58009521638,0.677384184777,0,0.0
10741,27,PP,0,0,0.0,1.31623268517,1.60687666703,1,0.0
10742,27,PP,0,0,2.87539280516,0.906852558718,1.76675010242,0,1.0
10743,27,PP,0,0,2.64199485689,2.68142847346,1.3238614866,0,0.0
10744,27,PP,0,0,2.12527397739,0.250579705246,1.75325034177,0,1.0
10745,27,PU,0,1,2.66695702764,0.921017283373,2.11964242141,0,1.0
10746,27,PU,0,1,2.88362607835,0.599154089334,2.10473003068,0,1.0
10747,27,PP,0,0,2.86694176124,0.439247891369,1.88333430304,0,1.0
10748,27,PU,0,1,0.0,0.46217303155,0.606262069411,1,0.0
10749,27,PU,0,1,0.0,1.05797561341,1.31217465816,1,0.0
10750,27,PP,0,0,3.14195669089,1.081815521,1.96753987736,0,1.0
10751,27,PP,0,0,1.2669093041,1.41422211902,0.496018979474,0,1.0
10752,27,PP,0,0,0.575182860064,0.170904949223,1.87492980344,0,1.0
10753,27,UP,1,0,1.50022899603,1.74981145249,2.05401534854,0,1.0
10754,27,UU,1,1,0.0,0.536036934693,2.14374015704,1,0.0
10755,27,PP,0,0,0.641839306365,1.20213818619,3.22355773755,0,1.0
10756,27,PP,0,0,2.00027421793,1.08162597315,2.8189179325,0,1.0
10757,27,UP,1,0,2.19196025091,1.2790038785,0.427410350572,0,1.0
10758,27,PP,0,0,0.700234576603,1.98797484196,1.73552378825,0,1.0
10759,27,PP,0,0,1.29193048784,1.71656486691,1.36514417067,0,1.0
10760,27,UU,1,1,0.650233903087,1.13383671425,0.801686527262,0,1.0
10761,27,PP,0,0,2.05857262991,0.868770098724,1.59492714541,0,1.0
10762,27,PP,0,0,2.87534790398,0.984750692128,1.4048859573,0,1.0
10763,27,UU,1,1,0.0,0.872566859271,3.13220730897,1,0.0
10764,27,PP,0,0,2.62529835232,0.8922562972,1.18115872153,0,1.0
10765,27,PP,0,0,1.72525672251,2.05181196063,3.10657036327,0,1.0
10766,27,PU,0,1,0.0,0.852292832065,1.69776024161,1,0.0
